,Tweets
465,SKMT Karachi  - construction on schedule despite all the challenges. InshaAllah will open later next year. It will be the biggest and equipped with the latest machinery.
466,"I want to thank the record crowd in Sargodha today. I am now convinced that whatever fascist tactics this Imported Government tries to oppress and terrorise the people of Pakistan into accepting this government of crooks, it will only fan the flames of revolution."
467,حسن شاد کی سربراہی میں اب میرے متحدہ عرب امارات کے وکلاء جیو ٹی وی، شاہزیب خانزادہ اور دھوکہ باز عمر فاروق ظہور کیخلاف امارات کے قانون کے تحت مجرمانہ ہتکِ عزت (Libel and Slander) کا دعویٰ دائر کرچکے ہیں۔
468,"I also want to thank millions of donors & supporters who make it possible for us to continue providing world class cancer treatment completely free of charge to over 75% of our patients. I have always said there is nothing we can't achieve as a nation, if we put our minds to it."
469,Enough is enough. Police in Punjab & Islamabad are breaking all laws with impunity as they target PTI. Today Azhar Mashwani was abducted in the afternoon from Lahore & his whereabouts are unknown. On 18 March Senator Shibli Faraz & Omar Sultan were badly beaten by ICT police
470,سب سے بڑھ کر تو یہ کہ انہوں نے اپنے 1100 ارب مالیت کے کرپشن کیسز سے خود کو استثنیٰ دلوایا ہے۔
471,ہری پور کےتاریخی اجتماع میں غیرمعمولی شرکت کی صورت میں حقیقی آزادی کی تحریک کے ضمن میں عوام کو تیار اور متحرک کرنے کے حوالے سے ایک بھرپور عوامی ردِعمل! اہلِ ہری پور آپ کا بہت شکریہ!
472,PMLN has history of selecting their own umpires but it's incredible how ECP has selected a sworn enemy of PTI as Caretaker CM Punjab - a post meant for a non partisan person. Naqvi also made a voluntary return deal with NAB. SC in suo moto case no 17/2016 declared that in a case
473,قابض مجرموں کےٹولےکیجانب سےیہ نِری فسطائیت کا اظہارہے۔میں ایک چیز واضح کر دوں:اگر ان مجرموں کاخیال ہےکہ ہمیں دھمکا لیں گےتو بڑی غلط فہمی کا شکار ہیں۔یہ فسطائی ہتھکنڈےمحض ہمیں حقیقی آزادی اور قانون کی حکمرانی کی اپنی جدوجہد کو مزید عزم و استقامت سےآگےبڑھانے کی قوت ہی بخشیں گے۔
474,ایس ایم منیر کے انتقال پر رنجیدہ ہوں۔ وہ شوکت خانم میموریل ٹرسٹ کے بورڈ کا حصہ اور ہمارے نہایت فراخدل عطیات کنندگان میں سے ایک تھے۔ میری دعائیں اور ہمدردیاں ان کے اہلِ خانہ کے ساتھ ہیں۔
475,جب تبدیلئ سرکارکی امریکی سازش کے نتیجےمیں VoNCآئی تو $178 روپےپرتھا۔IMFمعاہدےکےباوجود یہ منہ کے بل گرتاہوا آج224پر پہنچ چکاہے۔چارسو پھیلی معاشی تباہی ثابت کررہی ہےکہ شریفوں میں معیشت یا حکومت چلانےکا کوئی تجربہ نہیں۔ انکی واحد مہارت لوٹ مار،منی لانڈرنگ اور NRO لینےمیں ہے۔
476,"کل شام ہم رب العزت کا شکر ادا کریں گے اور عوامِ پاکستان جو حقیقی آزادی کی ہماری تحریک میں ہمارے شانہ بشانہ رہے اور اپنی حمایت کے اظہار کیلئے بہت بڑی تعداد میں نکلے، کے ساتھ خوشی منائیں گے، انشاءاللہ!
#ShukrAllahShukriyaAwam"
477,زیادتیوں سے بچانے اور محفوظ رکھنے کیلئے ہماری اعلیٰ عدلیہ کب حرکت میں آئے گی؟ ہماری نگاہوں کے سامنے شہریوں،سیاستدانوں،صحافیوں اورانسانی حقوق کےمحافظوں کو خوف و ہراس اور تشدد کانشانہ بنانے، انہیں گرفتار کرنے، ان پر دہشتگردی کے الزامات دھرنے اور انہیں بغاوت پر اکسائے جانے کا
478,سندھ کے چوری کردہ پیسے سے وفاقی حکومت گرانے اور NRO2 لینے کے بعد مصدقہ مجرم آصف زرداری شریف مافیا کی ملی بھگت سے MPAs کو خریدنےکی اپنی کوششوں کے ذریعے اب پنجاب کے عوام کا مینڈیٹ چُرانے نکلا ہے۔ عزت مآب سپریم کورٹ سے پوچھنا چاہتا ہوں کہ کیا وہ اس تباہی سے آگاہ نہیں؟
479,I will be doing media talk 4 pm today. Fawad's arrest on his apt description of the CEC leaves no doubt in anyone's mind that Pak has become a banana republic devoid of rule of law. We must stand up for our  fundamental rights now to save Pak's drift towards a point of no return.
480,نہایت کثیر تعداد میں باہرنکلنے اور مجرموں کی امپورٹڈ حکومت کیخلاف کھڑے ہونے پر میں راولپنڈی اور اسلام آباد کے لوگوں کا شکرگزار ہوں۔ #امپورٹڈ_حکومت_نامنظور
481,"I request all Pakistanis living in Pakistan and across the world to donate & support PTI's fight for Haqiqi Azadi. This is a struggle for a sovereign Pakistan - please play your part in this Jehad.
 
@PTIKhurshidAlam
 is chairman of the PTI fundraising committee."
482,Saddened to learn of the passing of Akbar Liaquat Ali Khan. My prayers & condolences go to the family.
483,مضحکہ خیز FIR کے معاملے پر تو میرا مؤقف میرے وکلاء دیں گے۔میں اپنی تمام عمراپنےملک کےبارے میں ایک خوشحال فلاحی ریاست کا خواب دیکھتا آیا ہوں اورمیری تمام تر جدوجہد اپنی قوم کیلئےاسی خواب کو شرمندۂ تعبیر کرنے کی کوششوں سےعبارت ہے۔آج قوم بیدار ہوچکی ہے اور عدل و انصاف اور
484,ان تمام حلقوں میں جہاں آج ضمنی انتخابات ہورہے ہیں ہر فرد نکلے اور اپنے ووٹ کا حق استعمال کرے۔ مجرموں کے ٹولے سے حقیقی آزادی کا یہ ایک ریفرنڈم ہے۔ ہم پی ڈی ایم، الیکشن کمیشن اور ”نامعلوم افراد“ سب سے نبُرد آزما ہیں۔
485,"Tragic news about the army aviation helicopter crash & the martyrdom of all six on board. My condolences & prayers to the families of the martyrs. I    had the privilege of knowing Lt Gen Sarfraz Ali whom I found to be a thorough professional & an upright, honest human being."
486,"Just to remind, arrests of & actions ag Sharifs & others during our govt, were a result of NAB cases with over 95% filed before we were voted into power & of the int Panama revelations. While in custody they were given VIP treatment. But what they wanted was NRO which we refused."
487,شکریہ فیصل آباد!
488,"Strongly condemn the attack on PTI Karachi President MPA Bilal Ghafar by PPP goons lead by their MPA Saleem Baloch.
Surprised to see that police has still not registered FIR against the attackers even when many of them were eyewitness to this assassination attempt on Bilal."
489,"شہباز شریف سےمیرا سوال: کیا تحریک انصاف کے خوف کی وجہ سےمیڈیاپر ہماری زباں بندی, اہلِ صحافت پر تشدد اورانکےخلاف جھوٹےمقدموں کے اندراج، ٹی وی اور یوٹیوب پر مجھےاورتحریک انصاف کو بلیک آؤٹ کرنےاورمیری فلڈریلیف ٹیلی تھون کی نشریات روکنےجیسی مذموم کوشش کے آپ ذمہ دار ہیں؟"
490,انہوں نےکیبل آپریٹرز کو دھمکایا۔اس سےثابت ہوتا ہےکہ قوم میں ہماری بڑھتی ہوئی مقبولیت سےیہ کس قدرخوفزدہ ہیں۔انہیں یہ بھی عِلم ہےکہ لوٹ مار کی طویل تاریخ کےباعث پیسوں کےمعاملےمیں کوئی ان پر اعتماد کو تیارنہیں۔چنانچہ مجھےاور میری جماعت کو نشانہ بنانےکیلئےانہوں نےسیلاب متاثرین
491,نےکسی قسم کا تشدد نہیں کیا۔چنانچہ میراسوال ہے کہ: تشدد کیاکس نے؟عوام میں بڑے پیمانےپر یہ عمومی تاثرموجود ہےکہ ایسابھیانک تشدد کر کون سکتا تھااور یہ ہمارےذہنوں میں بھی ہے۔یادرکھوعوام ردعمل دینگے۔ہم ذمہ داروں کی نشاندہی کرنےاور انہیں کٹہرے میں کھڑاکرنےمیں کوئی کسر نہ اٹھارکھیں گے۔
492,Balloki Nature Reserve initiated in 2019 by taking land back from land grabbers.
493,ایک آزادانہ انکوائری کےبعد4افسران کو شواہد تباہ کرنے کاذمہ دار قرار دیتےہوئےپراسیکیوٹر جنرل نےان کیخلاف کارروائی کی سفارش کی۔مگر طاقتور قوتوں نےسید خرم علی کو کنویئنر بنواکر ان چاروں افسران کو JIT میں شامل کروانےکیلئے پنجاب کی نگران حکومت سےJIT کی تشکیلِ نو کروائی ہے۔
494,میں پاکستان بھرمیں ان لوگوں کامشکورہوں جومجھ سے یکجہتی کےاظہار اورہماری جدوجہد کی حمایت میں آج رات بڑی تعداد میں نکلے۔ ہماری حقیقی آزادی کی تحریک وہ رفتار پکڑ رہی ہےجس کے آگے بند باندھنا ممکن نہیں اور جب تک ہم بےخوف اور ثابت قدم ہیں کامیابی انشاءاللہ ہمارے ہی قدم چومے گی!
495,میڈیا رپورٹس کے مطابق میرے خلاف قتل کی سازش کی تحقیقات کرنے والی مشترکہ تحقیقاتی ٹیم کے اراکین پر جے آئی ٹی کے نتائج سے فاصلہ اختیار کرنے کیلئےدباؤ ڈالا جارہا ہے۔ اس سے میرے اس یقین پر مہرِ تصدیق ثبت ہوتی ہےکہ مجھ پر قاتلانہ حملے کے پیچھےطاقتور حلقے ہی کارفرما تھے۔
496,"& safeguarded against excesses by the State & govt. We have seen citizens, politicians, journalists & human rights defenders intimidated,arrested, charged with terrorism & incitement to mutiny, tortured.We see fake cases, misuse of power by different executive branches expanding."
497,اس قوم نے NRO-1 کی بھاری قیمت چکائی ہے۔ ان دو مجرم خاندانوں اور انکےحواریوں کی لوٹ مار نے دس برس میں ہمارا قرض چار گنا بڑھا دیا۔ NRO 2 تو اس سے بھی بڑھ کر شرمناک ہے! 1100 ارب روپے کے کرپشن کیسز کو معافی و استثنیٰ دیا جارہا ہے۔قوم کی جیبوں پر یہ دن دیہاڑے ایک ڈاکہ ہے!
498,سرپرستوں نےEVMs کی راہ میں کیوں روڑے اٹکائے۔EVMs شفافیت اور نتائج کی فوری دستیابی ممکن بناتی ہیں جس سےدھاندلی اور نتائج میں ردو بدل کےدروازےبند ہوتےہیں۔بلدیاتی انتخابات کےوہ نتائج جنہیں بیشترمقامات پر چندگھنٹوں ہی میں سامنےآ جانا چاہیئےتھا کئی روز کی ناقابلِ فہم تاخیرسےموصول
499,"I am launching our election campaign from Lahore with a rally tomorrow afternoon. InshaAllah we will mobilise Punjab & KP for record turnout in what will be a historic election. PTI will take on PDM parties & their backers, who shd have been neutral umpires, plus state machinery."
500,ارشدشریف حیات ہوتے تو آج اپنی 50ویں سالگرہ منا رہے ہوتے۔ ہم پاکستان کیلئے ان کی عظیم ترین قربانی ہمیشہ یاد رکھیں گے۔ یہ نہایت ضروری ہے کہ ان کے قتل کے ذمہ داروں کو کٹہرے میں لایا جائے اور سزائیں دی جائیں۔
501,We are asked to echo condemnations on issues of human rights the powerful  in the int community take up; but when it comes to India & its massive human rights violations in IIOJK there is complete silence by the same powers bec of India's market or its strategic mly partnerships.
502,ایک شاندار جیت سمیٹنے پر بابر اعظم اور ٹیم کو مبارکباد پیش کرتا ہوں!
503,Congratulations to Crown Prince Mohammed bin Salman on being appointed Prime Minister of the Kingdom of Saudi Arabia. Your friendship & support for Pakistan is invaluable and with your vision you will usher the Kingdom into a new era.
504,I want to thank all the people who came in such huge numbers from across Pakistan to our Rawalpindi Azadi March yeaterday. Our Tehreek will continue until we establish rule of law and real freedom.
505,"This Pattan Report once again makes it obvious why these two criminal family mafias opposed the EVM machines as did the shamefully biased & controlled ECP. With EVMs 130 out of 163 ways of rigging elections in Pak would have been eliminated.
https://bolnews.com/pakistan/2022/07/use-of-evm-may-eliminate-130-out-of-163-poll-rigging-means/…"
506,ابرار الحق ایک مرتبہ پھرحقیقی آزادی کے حوالے سے ایک شاندار ترانہ لائے ہیں۔صحیح معنوں میں آزاد قومیں ہی اوپر اٹھنےاوراقبال کا شاہین بننےکیلئےاپنی بےپناہ انسانی صلاحیتیں بروئے کار لاتی ہیں۔
507,آئین و قانون کو بالادست بنانے والے سپریم کورٹ کے فیصلے کی حمایت و تائید میں کل شام گھروں سے بےساختہ نکلنے پر میں پوری قوم کاشکرگزار ہوں۔ ایک خودمختارپاکستان کےحصول کی حکمتِ عملی اپنے عوام کے سامنے رکھنے کیلئے میں آج شب 10بجے قوم سے مخاطب ہوں گا۔
508,قانون کی حکمرانی کے ذریعے عدل و انصاف، جو تمام شہریوں کو قانون کی نگاہ میں برابر بناتا ہے، ان کلیدی اسباب میں سے ایک ہے جس کی وجہ سے ہم قائدِ اعظم محمد علی جناح کے تصوّرِ پاکستان کی حقیقت پانے میں ناکام رہے۔یہ حقیقی آزادی،سچی خودمختاری اور شہریوں کےحقوق کےتحفظ کی راہ
509,"On the issue of the farcical FIR my lawyers will give my position. All my life I dreamt of seeing my country as a prospering welfare state & my struggle throughout has been to make this dream a reality for my nation. Today the nation has awakened, understood & risen"
510,Their desperation led to their blacking out our Telethon for flood relief. Today they raided Senator Saif Nyazee's home & took away his cell & computer. Imported govt & handlers are pushing us to the wall. I am warning them there will be consequences they will have to face.
511,جی ٹی روڈ پر ہمارے مارچ کے ہمراہ عوام کا سمندر۔ میں 6 ماہ سےملک میں ایک انقلاب کا مشاہدہ کررہا ہوں۔سوال صرف یہ ہے کہ آیا یہ بیلٹ باکس کےذریعے نرم ہوگا یا خونریزی کے ذریعے تباہ کن؟
512,"When those who worship money & are devoid of any ideology or belief system, are put at helm of affairs then this is the shameful result. Not only is he clueless why our founding fathers struggled and sacrificed to achieve the dream of Pakistan; but just to get the backing of the"
513,پولیس لائن پشاور کی مسجد میں دورانِ نماز دہشت گرد حملے کی شدید مذمت کرتا ہوں۔میری دعائیں اور ہمدردیاں متاثرہ خاندانوں کےساتھ ہیں۔ دہشتگردی کےبڑھتےہوئےخطرے سےنمٹنےکیلئےلازم ہےکہ ہم اپنی انٹیلی جنس میں بہتری لائیں اور اپنی پولیس کومناسب انداز میں ضروری ساز و سامان سےلیس کریں۔
514,عوام غیرمعمولی سیاسی شعور،حیرت انگیز جذبےکےساتھ بےمثال تعداد میں ہمارےمارچ کیلئےنکل رہےہیں۔ قوم کےاس واضح پیغام کیساتھ کہ وہ کسی فرد/ادارےکو قانون سےبالاتر ہرگزتسلیم نہیں کریگی،ہمیشہ کیلئےبدل جائےگا۔یہی تو وہ ہدف تھا جسکےحصول کیلئےمیں نے26 برس قبل تحریک انصاف کی بنیاد ڈالی
515,"& myself, to succeed, then we will be returning to the dark days of dictatorship when there was no independent media & no room for freedom of expression. Haqeeqi Azadi cannot be achieved without a free media & freedom of speech as guaranteed in our Constitution."
516,قائد اعظم آئین ساز تھے اسی لئے ہماری ریاست کی بنیاد آئین پاکستان ہے۔قرارداد مقاصد واضح بتاتی ہے کہ حاکمیت صرف اللہ تعالیٰ کی ہے۔ریاستِ پاکستان، اس مقدس امانت کو عوام کے منتخب نمائندوں کے ذریعےاستعمال کرے گی۔انتخابات میں آئینی مدت سے انحراف ریاست کی بنیاد ہلا دینے کےمترادف ہے
517,I want all our district presidents & office bearers across Pakistan to hold ghaibana namaz i janaza for our martyred worker Ali Bilal tomorrow.
518,گوجرانوالہ کے آج کے مناظر: تحریک انصاف کے قائدین اور کارکنان ہماری جیل بھرو تحریک کیلئے بڑی تعداد میں نکلے۔اپنے جنون اور عزم و استقلال سےخوف کی زنجیریں توڑنے پر آپ کو مبارکباد پیش کرتا ہوں۔گرفتار کارکنان اور انکےاہلِ خانہ سےمستقل روابط کیلئے ہماری ٹیمیں تشکیل دی جاچکی ہیں۔
519,Imported govt brought in by US regime change conspiracy first tried to rig Punjab bye elections thru govt & state machinery abetted by dishonest & biased CEC Sikandar Sultan heading non credible ECP. A highly aware & resolute public stood firm ensuring failure of nefarious design
520,ڈاکٹر گِل کی حمایت اور اس پر تشدد کیخلاف کل بعد ازنمازِ مغرب میں زیرو پوائنٹ سے ایف نائن پارک تک ریلی کی قیادت کروں گا۔ہم محض اس بنیاد پرکہ صرف سرکاری مؤقف اجاگر کرنے کی بجائےARY نے ہمارے بیانیے کو بھی جگہ دی، اسکی آواز گُل کرنے کیخلاف بھی صدائے احتجاج بلند کریں گے۔
521,جعفرلغاری کی رحلت کے بارے میں جان کر رنجیدہ ہوں۔ ان سےگزشتہ چار دہائیوں سےرفاقت تھی۔ بدقسمتی سے نہایت مزاحمت کےباوجود وہ سرطان (کینسر) کو نہ پچھاڑ سکے۔میری دعائیں اور ہمدردیاں انکے اہلِ خانہ کے ساتھ ہیں۔ رب العزت انہیں اس صدمے کا بوجھ اٹھانے کی قوت اور صبرِجمیل عطا فرمائیں!
522,ارشدشریف کو تو شہید کر دیاگیا۔بول اور اے آر وائے کے مالکان کو بھی نشانہ بنایا گیا۔
523,I just met my team & am now devising a policy of how we can contribute to alleviate the suffering of the people of Sindh from the devastating floods. We will start by donating Rs 1 billion from the funds collected from the telethon.
524,PDM قیادت ہمیں چیلنج کیاکرتی تھی کہ انتخابات چاہتےہیں تو KP اور پنجاب کی اسمبلیاں تحلیل کریں۔اب ہم نے مقابلےکیلئےپکارا ہےتو انتخابات کےنام ہی سےانکی جان نکلی جاتی ہےکہ انہیں اپنا خاتمہ نظر آتاہے۔ چنانچہSCکےججز کو بدنام کررہےہیں اور انتخابات سےبچنےکیلئےآئین سےانحراف پر آمادہ ہیں
525,نمایاں تبدیلیاں لائیں۔ راوی سٹی میں راوی اربن ڈیویلپمنٹ اتھارٹی نےزہریلے پانی کو حیاتِ آب کیلئے موزوں پانی میں تبدیل کرنے کے کامیاب تجربات کئے۔ پانی کی صفائی کے یہ منصوبے میونسپل سطح پر راوی کو تازہ پانی کےحامل دریا میں بدلنےکےحوالے سے اپنی نوعیت کا پہلا نظام ہے۔
526,اہلِ کشمیر کی قربانیوں کا ذکر نہ کرنےپر وزیراعظم آزادکشمیر کیجانب سےشہبازشریف کی سرزنش پرPDMمافیاکےذریعے سینٹورس مال کا سیل کیاجانا ظاہرکرتاہےکہ گزشتہ 8 ماہ سےمیں جنگل کا قانون رائج ہے۔اس سےکشمیریوں کوبھی منفی پیغام جاتاہے۔ہمارےمعززججز کیلئےسوال ہےکہ کیا وہ قانون کےمحافظ نہیں؟
527,بارشوں کےباعث کراچی میں پھرسےسیلابی کیفیت سندھ میں PPP کی14سالہ کرپشن+بدانتظامی کی عکاس ہے۔ میری حکومت نےبڑےنالوں کی صفائی+تعمیرکیلئے35ارب فراہم کئےمگرصوبائی حکومت سالِڈ ویسٹ کوٹھکانےلگانے کےنظام میں بہتری+چھوٹےنالوں کی صفائی کےحوالے سےاپنی ذمہ داریاں پوری کرنےمیں ناکام رہی
528,دنیابھر میں جنگوں میں ملوث رہا ہے،کےبرعکس پاکستان نےخاص طور پرجوہری صلاحیت کے حصول کے بعد کب جارحیت کا مظاہرہ کیا؟یہ حقیقت بھی نہایت اہمیت کی حامل ہےکہ بائیڈن کےبیان سے امپورٹڈحکومت کی خارجہ پالیسی کی ناکامی اور”امریکہ سےتعلقات کی بحالی وترتیبِ نو“کےدعویٰ کی حیثیت جھلکتی ہے
529,میری ملک بھر میں اپنے ضلعی صدور اور ذمہ داران کو ہدایت ہے کہ ہمارے شہید کارکن علی بلال کی غائبانہ نمازِ جنازہ کی ملک گیر سطح پر ادائیگی کا اہتمام کریں۔
530,"They will put all sorts of hurdles to prevent people from attending, but I want to remind our ppl that it is their fundamental right to attend a political gathering. Everyone must assert their right as people of a free nation that won its independence & come to Minar i Pakistan."
531,قومی کرکٹ ٹیم کیلئےآج میراپیغام وہی ہےجو میں نے 1992کےورلڈ کپ فائنل میں اپنی ٹیم کو دیا۔ اوّل: اس دن کا لطف اٹھائیے کہ عالمی کپ کا فائنل کھیلنے کا موقع شاذ ہی کسی کو میسر آتاہے اور ہرگز اس سے مرعوب نہ ہوں۔ دوم:
532,ہوئےجس سےبڑےپیمانےپر گڑبڑ کےامکانات ہیں۔اگر ECP،ریاست  اور PDM اسی قسم کے انتخابات چاہتےہیں تو ملک کو وہ استحکام، جو انتخابات  کے(صاف شفاف) انعقادسےجڑا ہےکبھی میسر نہ ہوگا بلکہ اس قسم کےدھاندلی زدہ انتخابات احتجاج، پولرائزیشن اور انتشار کی شدت میں مزید اضافے کا باعث بنیں گے۔
533,The vibrant & lively Kashmiris have lost their zeal to live under brutal Indian occupation & oppression in IIOJK. Humans only thrive in free societies. Today all those who value freedom must stand with the Kashmiris in their quest for liberation from illegal Indian Occupation.
534,"My UAE lawyers led by Hassan Shad have now filed criminal defamation (libel and slander) proceedings under UAE law against Geo TV, Shahzeb Khanzada and fraudster Umer Farooq Zahoor."
535,میری ہدایات پر لندن میں جیو ٹی وی لمیٹیڈ کو قانونی نوٹس بھجوا دیا گیا ہے۔میرےوکلاء نےیہ نوٹس Pre Action Protocol for Media & Communications Claims کےتحت بھیجاہے۔جیو ٹی وی لمیٹیڈ کوآج لندن میں باضابطہ طور پر Letter of Claim دےدیا گیاہے اور انکےپاس جواب کیلئے14 روز کی مہلت ہے۔
536,کا بھی مشکور ہوں جو (اپنے عطیات سے) ہمیں اس قابل بناتے ہیں کہ ہم کینسر میں مبتلا اپنے 75% مریضوں کو عالمی معیار کے علاج کی بلا معاوضہ فراہمی جاری رکھ سکیں۔ میں ہمیشہ یہ کہتا آیا ہوں کہ اگر ہم غور کریں تو بحثیتِ قوم کچھ بھی ایسا نہیں جسے حاصل کرنا ہمارے لئے ناممکن ہے۔
537,آئی ایم ایف اور عالمی بنک کی رپورٹس سے ظاہر ہے کہ بلندی کی جانب گامزن ایک مستحکم معیشت ملنے کے باوجود یہ امپورٹڈ حکومت معیشت کو تباہی کے گھڑے میں گِرنےسےبچانےمیں ناکام رہی۔اقتصادی سروے اس حقیقت کا عکاس ہے کہ ہماری معاشی کارکردگی گزشتہ 70 برسوں میں بہترین تھی۔
538,This is an abduction not an arrest. Can such shameful acts take place in any democracy? Political workers treated as enemies. And all to make us accept a foreign backed government of crooks.
539,"I am afraid neither the PDM parties, who have perfected the art of rigging over the years want free and fair elections, nor does our Establishment."
540,Thank you Lahore & especially all the ppl who walked with our rally for almost 7 hrs. This is why cabal of crooks & their handlers are so petrified of us - denying permission repeatedly; violently attacking our workers on 8 March & perpetrating custodial killing of Zille Shah.
541,"Saddened to learn of the passing of prominent religious scholar Aalim e Deen Mufti Rafi Usmani (principal of Darul Uloom Karachi & elder brother of Mufti Taqi Usmani), who will be remembered for his invaluable scholarship. My prayers & condolences go to the family."
542,نہیں پا رہا۔ انکی ساری توانائیاں NRO-2 اور اس کے تحفظ پر مرکوز ہیں۔ چنانچہ معیشت کی زبوں حالی کے باوجود یہ انتخابات، جو کہ سیاسی استحکام کے ذریعے معیشت مستحکم کرنے کا واحد کلیہ ہیں، کے انعقاد سے گھبرا رہے ہیں۔
543,ہمارےسینئر قائدین کا اجلاس ہوا اور ہم نےفیصلہ کیا کہ سیلاب متاثرین کی خاطر چندہ جمع کرنےکیلئےمیں پیر کی شب انٹرنیشنل ٹیلی تھون کروں گا۔امدادی سرگرمیوں کیلئےعمران ٹائیگرز کے رضاکاروں کو متحرک کیا جائے گا۔ ضرورت کی بناءپر فنڈز کی نشاندہی اورتخصیص کے عمل کو مربوط بنانے کیلئے
544,16 Dec is a day the nation will never forget:when one of the most horrific acts of terrorism in our history  happened - the attack on innocent children of APS Peshawar & their teachers. It is also the day when we came together as a nation & resolved to take on & defeat terrorism.
545,"Senator Swati was stripped naked, tortured, humiliated through an illegal video sent to his wife. For weeks he has sought justice from SC to no avail. So when he reacts in justifiable anger & frustration, he is put in jail & at last count 15 FIRs registered against him across Pak"
546,"Strongly condemn govt trying, through PEMRA, to muzzle our voice through an illegal ban on us, violative of court order, on TV channels. Now to pressure media further, PEMRA has issued another notice accusing TV channels  of violating their earlier.  notice. Fascism at its worst."
547,"Before & after of world's largest Miyawaki forest I had initiared last yr in Lahore near Ravi Saggian bridge. In just one year it’s shown unbelievable progress. We had done more than 70 of these in Lahore.
Gardeners are saying it’s filled with wildlife - & all in middle of Lahore"
548,Today the public reception and passion at Eminabad. Because of such passion all along the GT road we are moving at around 12 kilometres an hour. So those waiting to receive us please adjust accordingly. Tomorrow we will be going through Gujranwala city.
549,کیا جمہوریت، آئین اور قوم کی اخلاقیات کی تباہی کا یہ سلسلہ ازخود کارروائی کیلئے موزوں نہیں؟ کیا ہمارے ”نیوٹرلز“ کو احساس نہیں ہورہا کہ تبدیلئ سرکار کی امریکی سازش کے ذریعے لائی گئی امپورٹڈ حکومت کی جانب سے ہمارا پیارا وطن واقعتاً کیسے ہر محاذ پر تباہی سے دوچار کیا جارہا ہے؟
550,ہمارےکارکنان اور قائدین کو اغواء،گرفتار اور تشدد کا نشانہ بنایا جارہاہےجبکہ انکےگھروں پر بغیر وارنٹس چھاپے مارےجارہےہیں۔اسلام آباد میں آج مراد سعید کی رہائشگاہ پر اس وقت چھاپہ مارا گیا جب وہ گھر پر موجود نہیں تھا۔ مجھےبتایاجائےکہ یہ سب کس قانون کےتحت کیاجارہاہے؟ اقتدار پر
551,ہمارےعوام ہی ہماری قوت ہیں اور یہ ثابت کرنےکیلئےکہ حقیقی آزادی اور قانون کی حکمرانی کی ہماری جدوجہد میں ہمارےشانہ بشانہ ہیں، وہ ایک مرتبہ پھر نکلے! ہم بول ٹی وی کےدفتر پر چھاپے کی شدید مذمت کرتے ہیں جس سے ظاہر ہوتا ہے کہ فسطائیت کا عفریت نہایت تیزی سےپاکستان کو نِگل رہاہے۔
552,فٹ بال ورلڈ کپ کے سیمی فائنلز میں پہنچنے کیلئے پرتگال سے جیتنے پر مراکش کو مبارکباد پیش کرتا ہوں۔ پہلی مرتبہ ایک عرب، افریقی اور مسلم ٹیم کسی فیفا ورلڈ کپ کے سیمی فائنل تک پہنچی ہے۔ میں سیمی فائنل اور اس سے اگلے مراحلے میں ان کی کامیابی کیلئے دعاگو ہوں۔
553,سیاسی کارکنان کو زیرِحراست تشدد کانشانہ بنایا۔ دورانِ حراست تشدد کی اس رسمِ بد کےخاتمےکیلئےہماری عدلیہ کب حرکت میں آئےگی کیونکہ یہ تشدد ہمارےآئین ہی نہیں بلکہ عالمی سطح پر ہماری قانونی ذمہ داریوں سے بھی متصادم ہےکیونکہ پاکستان بطور ریاست تشدد کےخلاف عالمی کنونشن(CAT)کاحصہ ہے
554,"Meanwhile the likes of NS, Maryam, MFR, AZ, all of whom have in the worst possible way & repeatedly attacked State institutions through malicious & targeted statements against them, get away without even a hint of a reprimand."
555,27فروری2019کو ہماری حکومت نےبالاکوٹ پر بھارتی فضائی حملےکےجواب میں مقبوضہ کشمیرمیں بھارت کےفوجی  اہداف کونشانہ بنانےکےاحکامات دیےاور پاک فضائیہ نےکی حدود میں ایک بھارتی طیارہ مار گرایا جسکا ہواباز گرفتار ہوا۔ہم ایک محدودجوابی حملےکےذریعےکو دوٹوک پیغام بھجوانےمیں کامیاب رہے
556,"Congratulations to Punjab govt for delivering on another PTI commitment with launch of Insaf Academy - the first Educational portal in Pak of this magnitude. 7,000+ lectures, quizzes & MCQs. Every house becomes a school providing free education for students grades 9-12."
557,عوام تبدیلئ حکومت کی امریکی سازش کے ذریعے لائی گئی بدمعاشوں کی اس امپورٹڈ سرکار کو مسترد کر چکے ہیں۔
558,مجھے ڈر ہے کہ پی ڈی ایم جماعتیں، جنہوں نے برسوں کی ریاضت سے دھاندلی کے فن میں اوجِ کمال تک مہارت حاصل کی ہے، آزادانہ و منصفانہ انتخابات چاہتی ہیں نہ ہی ہماری مقتدرہ (اسٹیبلشمنٹ)۔
559,I want to thank people across Pakistan for coming out in such large numbers tonight to show solidarity with me & support for our struggle. Our Movement for Haqiqi Azadi is gaining an unstoppable momentum & InshaAllah we will succeed as long as we stay resolute & fearless.
560,پر ڈاکےکامنصوبہ ناکام بنایا،وہ آج پھرملک بھرمیں احتجاج کےذریعےاپنےمینڈیٹ کےتحفظ کیلئےنکلیں۔میں رات9بجےخطاب کروں گا۔سری لنکا کو ایک مثال بننےدیجئےکہ اس میں بدمعاشوں،انکےسرپرستوں اور ECPکیلئےواضح پیغام ہےکہ عوام آپکو پنجاب میں عوامی مینڈیٹ پرہاتھ صاف کرنےکی قطعاًاجازت نہیں دینگے
